method,referee,weightclass,winner,f1,f2,f1_slmp,f2_slmp,f1_str_acc_%,f2_str_acc_%,f1_sapm,f2_sapm,f1_str_def_%,f2_str_def_%,f1_td_avg,f2_td_avg,f1_td_acc_%,f2_td_acc_%,f1_td_def_%,f2_td_def_%,f1_sub_avg,f2_sub_avg,f1_height,f2_height,f1_weight,f2_weight,f1_reach,f2_reach,f1_stance,f2_stance
Decision - Unanimous,Herb Dean,featherweight,f1,Lerone Murphy,Edson Barboza,8.8,3.16,60.44,32.64,3.16,8.8,67.36,39.56,2.4,0.0,66,0,100,34,0.0,0.0,175.26,180.34,65.77,65.77,185.42,190.5,Orthodox,Orthodox
KO/TKO,Dan Miragliotta,welterweight,f1,Khaos Williams,Carlston Harris,8.0,9.33,60.0,46.67,9.33,8.0,53.33,40.0,0.0,0.0,0,0,100,100,0.0,0.0,182.88,182.88,77.11,77.11,195.58,193.04,Orthodox,Orthodox
Decision - Unanimous,Mark Smith,welterweight,f1,Themba Gorimbo,Ramiz Brahimaj,2.87,0.2,82.69,50.0,0.2,2.87,50.0,17.31,5.0,1.0,83,12,88,17,0.0,0.0,185.42,177.8,77.11,77.11,195.58,182.88,Orthodox,Orthodox
KO/TKO,Chris Tognoni,bantamweight,f1,Adrian Yanez,Vinicius Salvador,12.93,6.11,64.29,50.0,6.11,12.93,50.0,35.71,0.0,0.0,0,0,100,100,0.0,0.0,170.18,170.18,61.23,61.23,177.8,177.8,Orthodox,Southpaw
Submission,Herb Dean,strawweight,f1,Angela Hill,Luana Pinheiro,3.04,1.85,35.44,28.33,1.85,3.04,71.67,64.56,3.26,1.63,33,14,86,67,0.11,0.0,160.02,157.48,52.16,52.16,162.56,157.48,Orthodox,Orthodox
KO/TKO,Mark Smith,lightweight,f1,Tom Nolan,Victor Martinez,8.61,4.7,51.56,69.23,4.7,8.61,30.77,48.44,0.0,0.0,0,0,100,100,0.0,0.0,190.5,172.72,70.31,70.31,185.42,177.8,Southpaw,Orthodox
Submission,Dan Miragliotta,light heavyweight,f1,Oumar Sy,Tuco Tokkos,0.0,0.81,0.0,75.0,0.81,0.0,25.0,100.0,8.07,0.0,66,0,100,34,0.27,0.0,193.04,193.04,92.99,92.99,210.82,193.04,Orthodox,Orthodox
KO/TKO,Chris Tognoni,bantamweight,f1,Melissa Gatto,Tamires Vidal,2.83,1.41,57.69,51.72,1.41,2.83,48.28,42.31,2.83,0.0,100,0,100,0,0.09,0.09,165.1,167.64,61.23,61.23,175.26,172.72,Orthodox,Orthodox
Decision - Unanimous,Dan Miragliotta,middleweight,f1,Abus Magomedov,Warlley Alves,1.47,1.07,50.0,42.11,1.07,1.47,57.89,50.0,6.0,0.0,85,0,100,15,0.0,0.0,187.96,180.34,83.91,83.91,198.12,182.88,Orthodox,Orthodox
Decision - Unanimous,Herb Dean,bantamweight,f1,Alatengheili,Kleydson Rodrigues,1.2,2.47,30.51,42.05,2.47,1.2,57.95,69.49,3.0,0.0,75,0,100,25,0.0,0.0,165.1,165.1,61.23,61.23,167.64,170.18,Orthodox,Orthodox
Decision - Split,Chris Tognoni,strawweight,f1,Vanessa Demopoulos,Emily Ducote,7.27,9.53,37.2,66.82,9.53,7.27,33.18,62.8,0.0,0.0,0,0,100,100,0.0,0.0,157.48,157.48,52.16,52.16,149.86,160.02,Orthodox,Orthodox
KO/TKO,Jason Herzog,heavyweight,f1,Derrick Lewis,Rodrigo Nascimento,3.79,2.5,54.67,65.85,2.5,3.79,34.15,45.33,1.39,1.39,25,100,0,75,0.0,0.0,190.5,187.96,117.93,111.58,200.66,203.2,Orthodox,Orthodox
Decision - Unanimous,Keith Peterson,welterweight,f1,Joaquin Buckley,Nursulton Ruziboev,5.73,2.07,55.13,43.06,2.07,5.73,56.94,44.87,4.0,0.0,100,0,100,0,0.0,0.0,177.8,195.58,77.11,77.11,193.04,193.04,Southpaw,Orthodox
KO/TKO,Nick Berens,light heavyweight,f1,Carlos Ulberg,Alonzo Menifield,35.0,5.0,63.64,25.0,5.0,35.0,75.0,36.36,0.0,0.0,0,0,100,100,0.0,0.0,193.04,182.88,92.99,92.99,195.58,193.04,Orthodox,Orthodox
KO/TKO,Gary Copeland,lightweight,f1,Diego Ferreira,Mateusz Rebecki,8.28,3.5,51.04,37.96,3.5,8.28,62.04,48.96,3.03,4.04,100,80,20,0,0.0,0.0,175.26,170.18,70.31,70.31,187.96,167.64,Orthodox,Southpaw
Decision - Unanimous,Jason Herzog,featherweight,f1,Sean Woodson,Alex Caceres,6.73,5.47,44.69,41.62,5.47,6.73,58.38,55.31,0.0,0.0,0,0,100,100,0.0,0.0,187.96,177.8,65.77,65.77,198.12,185.42,Orthodox,Southpaw
Decision - Unanimous,Josh Stewart,heavyweight,f1,Waldo Cortes-Acosta,Robelis Despaigne,3.47,1.73,51.49,50.0,1.73,3.47,50.0,48.51,3.0,0.0,75,0,100,25,0.07,0.0,193.04,200.66,117.93,120.2,198.12,213.36,Orthodox,Orthodox
Submission,Keith Peterson,lightweight,f1,Chase Hooper,Viacheslav Borshchev,7.75,0.25,56.88,33.33,0.25,7.75,66.67,43.12,1.88,0.0,100,0,100,0,0.25,0.0,185.42,180.34,70.31,70.31,187.96,175.26,Southpaw,Orthodox
KO/TKO,Gary Copeland,lightweight,f1,Esteban Ribovics,Terrance McKinney,8.11,8.11,41.67,27.78,8.11,8.11,72.22,58.33,0.0,0.0,0,0,100,100,0.0,0.0,177.8,177.8,70.31,70.31,175.26,185.42,Orthodox,Switch
Decision - Split,Nick Berens,strawweight,f1,Tabatha Ricci,Tecia Pennington,3.6,5.33,37.76,36.53,5.33,3.6,63.47,62.24,1.0,0.0,10,0,100,90,0.0,0.0,154.94,154.94,52.16,52.16,154.94,152.4,Orthodox,Orthodox
Decision - Unanimous,Josh Stewart,welterweight,f1,Trey Waters,Billy Ray Goff,6.4,7.73,42.67,46.59,7.73,6.4,53.41,57.33,0.0,1.0,0,8,92,100,0.07,0.0,195.58,177.8,77.11,77.11,195.58,182.88,Orthodox,Switch
Decision - Unanimous,Gary Copeland,flyweight,f1,Charles Johnson,Jake Hadley,4.67,3.2,41.67,37.5,3.2,4.67,62.5,58.33,0.0,0.0,0,0,100,100,0.0,0.0,175.26,170.18,56.7,56.7,177.8,177.8,Switch,Southpaw
Decision - Unanimous,Josh Stewart,flyweight,f1,Veronica Hardy,JJ Aldrich,2.4,1.8,46.15,42.86,1.8,2.4,57.14,53.85,0.0,0.0,0,0,100,100,0.0,0.0,162.56,165.1,56.7,56.7,162.56,170.18,Southpaw,Southpaw
Decision - Unanimous,Marc Goddard,flyweight,f1,Alexandre Pantoja,Steve Erceg,5.0,4.44,51.65,52.36,4.44,5.0,47.64,48.35,5.4,0.6,47,16,84,53,0.0,0.0,165.1,172.72,56.7,56.7,170.18,172.72,Orthodox,Orthodox
Decision - Unanimous,Mike Beltran,bantamweight,f1,Jose Aldo,Jonathan Martinez,5.13,3.47,55.4,44.07,3.47,5.13,55.93,44.6,1.0,0.0,50,0,100,50,0.0,0.0,170.18,172.72,61.23,61.23,177.8,177.8,Orthodox,Southpaw
Submission,Osiris Maia,light heavyweight,f1,Anthony Smith,Vitor Petrino,5.5,5.0,55.0,45.45,5.0,5.5,54.55,45.0,0.0,7.5,0,50,50,100,0.5,0.0,193.04,187.96,92.99,92.99,193.04,195.58,Orthodox,Orthodox
Submission,Fernando Portella,middleweight,f1,Michel Pereira,Ihor Potieria,6.67,2.22,60.0,66.67,2.22,6.67,33.33,40.0,0.0,0.0,0,0,100,100,1.11,0.0,185.42,190.5,83.91,83.91,185.42,190.5,Orthodox,Southpaw
KO/TKO,Marc Goddard,middleweight,f1,Caio Borralho,Paul Craig,5.02,3.07,72.0,45.83,3.07,5.02,54.17,28.0,0.0,0.0,0,0,100,100,0.0,0.0,185.42,190.5,83.91,83.91,190.5,193.04,Southpaw,Orthodox
KO/TKO,Joao Claudio Soares,featherweight,f1,Joanderson Brito,Jack Shore,3.5,2.8,53.57,60.0,2.8,3.5,40.0,46.43,1.75,0.0,100,0,100,0,0.0,0.0,172.72,172.72,65.77,65.77,182.88,180.34,Orthodox,Orthodox
Decision - Unanimous,Osiris Maia,strawweight,f1,Iasmin Lucindo,Karolina Kowalkiewicz,5.53,2.8,61.03,37.84,2.8,5.53,62.16,38.97,2.0,0.0,33,0,100,67,0.0,0.0,160.02,160.02,52.16,52.16,167.64,162.56,Orthodox,Orthodox
Decision - Unanimous,Fernando Portella,lightweight,f1,Myktybek Orolbai,Elves Brener,4.33,3.2,54.62,52.75,3.2,4.33,47.25,45.38,5.0,3.0,29,50,50,71,0.0,0.0,177.8,177.8,70.31,70.31,187.96,182.88,Orthodox,Orthodox
Decision - Unanimous,Marc Goddard,lightweight,f1,Drakkar Klose,Joaquim Silva,4.67,3.93,56.91,63.44,3.93,4.67,36.56,43.09,0.0,0.0,0,0,100,100,0.0,0.07,175.26,172.72,70.31,70.31,177.8,175.26,Orthodox,Southpaw
KO/TKO,Osiris Maia,lightweight,f1,Mauricio Ruffy,Jamie Mullarkey,5.32,2.98,62.5,36.84,2.98,5.32,63.16,37.5,0.0,0.0,0,0,100,100,0.0,0.0,180.34,182.88,70.31,70.31,190.5,187.96,Orthodox,Orthodox
Decision - Unanimous,Fernando Portella,flyweight,f1,Dione Barbosa,Ernesta Kareckaite,2.6,3.53,54.93,33.97,3.53,2.6,66.03,45.07,2.0,1.0,18,100,0,82,0.07,0.0,167.64,175.26,56.7,56.7,167.64,180.34,Orthodox,Orthodox
Decision - Unanimous,Mike Beltran,lightweight,f1,Ismael Bonfim,Vinc Pichel,7.4,4.07,51.39,42.96,4.07,7.4,57.04,48.61,1.0,1.0,50,50,50,50,0.0,0.0,172.72,177.8,70.31,70.31,180.34,182.88,Orthodox,Orthodox
KO/TKO,Joao Claudio Soares,flyweight,f1,Alessandro Costa,Kevin Borjas,6.99,2.73,53.49,32.14,2.73,6.99,67.86,46.51,0.0,0.0,0,0,100,100,0.0,0.0,162.56,165.1,56.7,56.7,170.18,172.72,Orthodox,Orthodox
KO/TKO,Mark Smith,flyweight,f1,Alex Perez,Matheus Nicolau,3.85,3.03,39.44,40.0,3.03,3.85,60.0,60.56,0.0,0.0,0,0,100,100,0.0,0.0,167.64,167.64,56.7,56.7,165.1,167.64,Orthodox,Orthodox
KO/TKO,Herb Dean,light heavyweight,f1,Bogdan Guskov,Ryan Spann,3.75,1.81,64.58,39.47,1.81,3.75,60.53,35.42,0.0,1.81,0,33,67,100,0.0,0.12,190.5,195.58,92.99,92.99,193.04,200.66,Orthodox,Orthodox
Decision - Unanimous,Jason Herzog,flyweight,f1,Karine Silva,Ariane da Silva,1.8,2.8,36.0,51.85,2.8,1.8,48.15,64.0,5.0,0.0,83,0,100,17,0.0,0.0,165.1,167.64,56.7,56.7,170.18,170.18,Orthodox,Orthodox
KO/TKO,Mark Smith,heavyweight,f1,Jhonata Diniz,Austen Lane,2.78,2.36,60.61,45.95,2.36,2.78,54.05,39.39,0.0,2.08,0,25,75,100,0.0,0.0,193.04,198.12,115.21,111.13,200.66,203.2,Orthodox,Orthodox
Decision - Unanimous,Chris Tognoni,featherweight,f1,David Onama,Jonathan Pearce,3.87,3.8,55.77,44.19,3.8,3.87,55.81,44.23,0.0,5.0,0,35,65,100,0.07,0.07,180.34,182.88,65.77,65.77,187.96,180.34,Orthodox,Switch
KO/TKO,Herb Dean,welterweight,f1,Uros Medic,Tim Means,3.26,3.26,58.33,41.18,3.26,3.26,58.82,41.67,0.0,0.0,0,0,100,100,0.0,0.0,185.42,187.96,77.11,77.11,180.34,190.5,Southpaw,Orthodox
KO/TKO,Jason Herzog,bantamweight,f1,Victor Henry,Rani Yahya,8.65,4.29,53.17,49.54,4.29,8.65,50.46,46.83,0.0,0.0,0,0,100,100,0.0,0.0,170.18,167.64,61.23,61.23,172.72,170.18,Switch,Orthodox
Decision - Unanimous,Chris Tognoni,lightweight,f1,Austin Hubbard,Michal Figlak,5.87,6.13,42.72,43.81,6.13,5.87,56.19,57.28,3.0,0.0,42,0,100,58,0.0,0.0,177.8,177.8,70.31,70.31,180.34,177.8,Orthodox,Orthodox
Decision - Unanimous,Mark Smith,heavyweight,f1,Don'Tale Mayes,Caio Machado,4.47,5.07,36.61,47.8,5.07,4.47,52.2,63.39,0.0,0.0,0,0,100,100,0.0,0.0,198.12,193.04,117.93,113.4,205.74,198.12,Orthodox,Southpaw
Decision - Unanimous,Jason Herzog,strawweight,f1,Ketlen Souza,Marnic Mann,5.33,2.07,68.97,40.26,2.07,5.33,59.74,31.03,1.0,2.0,50,40,60,50,0.0,0.07,160.02,152.4,52.16,52.16,160.02,162.56,Orthodox,Southpaw
Submission,Herb Dean,lightweight,f1,Chris Padilla,James Llontop,2.64,4.18,46.15,47.5,4.18,2.64,52.5,53.85,9.89,0.0,100,0,100,0,0.22,0.0,175.26,182.88,70.31,70.31,187.96,185.42,Orthodox,Orthodox
Submission,Chris Tognoni,flyweight,f1,Ivana Petrovic,Liang Na,3.13,2.09,49.32,46.15,2.09,3.13,53.85,50.68,3.92,1.31,75,50,50,25,0.09,0.0,172.72,165.1,56.7,56.7,177.8,170.18,Southpaw,Orthodox
Decision - Split,Jason Herzog,lightweight,f1,Maheshate,Gabriel Benitez,6.47,8.07,31.09,41.02,8.07,6.47,58.98,68.91,0.0,0.0,0,0,100,100,0.0,0.0,182.88,172.72,70.31,70.31,180.34,180.34,Orthodox,Southpaw
KO/TKO,Jason Herzog,light heavyweight,f1,Alex Pereira,Jamahal Hill,7.42,3.71,80.0,54.55,3.71,7.42,45.45,20.0,0.0,0.0,0,0,100,100,0.0,0.0,193.04,193.04,92.99,92.99,200.66,200.66,Orthodox,Southpaw
Decision - Unanimous,Jason Herzog,strawweight,f1,Zhang Weili,Yan Xiaonan,4.24,1.72,67.52,50.59,1.72,4.24,49.41,32.48,3.6,1.8,66,100,0,34,0.08,0.0,162.56,165.1,52.16,52.16,160.02,160.02,Switch,Orthodox
KO/TKO,Marc Goddard,lightweight,f1,Max Holloway,Justin Gaethje,7.24,4.12,58.58,51.76,4.12,7.24,48.24,41.42,0.0,0.0,0,0,100,100,0.0,0.0,180.34,180.34,65.77,70.31,175.26,177.8,Orthodox,Orthodox
Decision - Split,Mark Smith,lightweight,f1,Arman Tsarukyan,Charles Oliveira,3.27,1.27,59.04,51.35,1.27,3.27,48.65,40.96,2.0,0.0,50,0,100,50,0.0,0.27,170.18,177.8,70.31,70.31,182.88,187.96,Orthodox,Orthodox
Submission,Chris Tognoni,middleweight,f1,Bo Nickal,Cody Brundage,0.93,0.46,61.54,33.33,0.46,0.93,66.67,38.46,5.21,0.0,50,0,100,50,0.23,0.0,185.42,182.88,83.91,83.91,193.04,182.88,Southpaw,Orthodox
KO/TKO,Herb Dean,light heavyweight,f1,Jiri Prochazka,Aleksandar Rakic,8.33,7.0,58.47,53.21,7.0,8.33,46.79,41.53,1.81,0.0,100,0,100,0,0.0,0.0,190.5,193.04,92.99,92.99,203.2,198.12,Orthodox,Orthodox
Decision - Unanimous,Jason Herzog,featherweight,f1,Aljamain Sterling,Calvin Kattar,2.6,0.53,54.93,27.59,0.53,2.6,72.41,45.07,8.0,0.0,61,0,100,39,0.0,0.0,170.18,180.34,65.77,65.77,180.34,182.88,Orthodox,Orthodox
Submission,Marc Goddard,bantamweight,f1,Kayla Harrison,Holly Holm,7.52,0.29,71.83,16.67,0.29,7.52,83.33,28.17,4.42,0.0,40,0,100,60,0.15,0.0,172.72,172.72,61.23,61.23,167.64,175.26,Southpaw,Southpaw
KO/TKO,Mark Smith,featherweight,f1,Diego Lopes,Sodiq Yusuff,17.53,1.35,81.25,40.0,1.35,17.53,60.0,18.75,0.0,0.0,0,0,100,100,0.0,0.0,180.34,175.26,65.77,65.77,182.88,180.34,Orthodox,Orthodox
KO/TKO,Herb Dean,lightweight,f1,Renato Moicano,Jalin Turner,3.92,1.74,53.73,40.0,1.74,3.92,60.0,46.27,3.27,0.0,33,0,100,67,0.0,0.0,180.34,190.5,70.31,70.31,182.88,195.58,Orthodox,Southpaw
Decision - Split,Chris Tognoni,strawweight,f1,Jessica Andrade,Marina Rodriguez,5.93,5.47,49.44,35.96,5.47,5.93,64.04,50.56,1.0,0.0,100,0,100,0,0.0,0.07,154.94,167.64,52.16,52.16,157.48,165.1,Orthodox,Orthodox
Decision - Unanimous,Marc Goddard,lightweight,f1,Bobby Green,Jim Miller,12.4,3.8,58.31,39.58,3.8,12.4,60.42,41.69,1.0,0.0,100,0,100,0,0.0,0.0,177.8,172.72,70.31,70.31,180.34,180.34,Orthodox,Southpaw
Submission,Mark Smith,bantamweight,f1,Deiveson Figueiredo,Cody Garbrandt,1.44,1.77,68.42,51.61,1.77,1.44,48.39,31.58,1.66,0.0,20,0,100,80,0.22,0.0,165.1,172.72,61.23,61.23,172.72,165.1,Orthodox,Orthodox
Decision - Split,Mark Smith,middleweight,f1,Brendan Allen,Chris Curtis,4.48,4.96,50.45,51.45,4.96,4.48,48.55,49.55,3.6,0.0,46,0,100,54,0.0,0.0,187.96,177.8,83.91,83.91,190.5,190.5,Orthodox,Orthodox
Decision - Split,Jason Herzog,featherweight,f1,Damon Jackson,Alexander Hernandez,2.8,2.13,49.41,36.78,2.13,2.8,63.22,50.59,3.0,0.0,42,0,100,58,0.0,0.0,180.34,175.26,65.77,65.77,180.34,182.88,Switch,Orthodox
Decision - Split,Keith Peterson,featherweight,f1,Chepe Mariscal,Morgan Charriere,4.73,3.27,51.82,47.12,3.27,4.73,52.88,48.18,1.0,2.0,12,40,60,88,0.0,0.07,170.18,172.72,65.77,65.77,175.26,175.26,Orthodox,Orthodox
KO/TKO,Chris Tognoni,lightweight,f1,Ignacio Bahamondes,Christos Giagos,11.21,4.77,58.82,37.78,4.77,11.21,62.22,41.18,0.0,0.0,0,0,100,100,0.0,0.0,190.5,177.8,70.31,70.31,190.5,180.34,Orthodox,Orthodox
Decision - Unanimous,Keith Peterson,lightweight,f1,Charlie Campbell,Trevor Peek,3.6,3.13,54.0,48.45,3.13,3.6,51.55,46.0,4.0,2.0,40,66,34,60,0.0,0.0,182.88,175.26,70.31,70.31,182.88,177.8,Orthodox,Switch
Decision - Unanimous,Jason Herzog,welterweight,f1,Alex Morono,Court McGee,2.53,4.0,26.95,37.5,4.0,2.53,62.5,73.05,0.0,1.0,0,16,84,100,0.07,0.0,180.34,180.34,77.11,77.11,182.88,190.5,Orthodox,Orthodox
Decision - Unanimous,Mark Smith,heavyweight,f1,Lukasz Brzeski,Valter Walker,3.87,2.2,56.86,49.25,2.2,3.87,50.75,43.14,0.0,4.0,0,80,20,100,0.0,0.0,193.04,198.12,107.05,120.2,198.12,198.12,Orthodox,Orthodox
Decision - Unanimous,Keith Peterson,bantamweight,f1,Norma Dumont,Germaine de Randamie,0.73,1.07,37.93,48.48,1.07,0.73,51.52,62.07,6.0,0.0,75,0,100,25,0.0,0.0,170.18,175.26,61.23,61.23,170.18,180.34,Orthodox,Orthodox
Decision - Unanimous,Chris Tognoni,bantamweight,f1,Victor Hugo,Pedro Falcao,4.53,2.8,54.84,39.62,2.8,4.53,60.38,45.16,0.0,1.0,0,7,93,100,0.0,0.0,170.18,167.64,61.23,61.23,180.34,167.64,Orthodox,Orthodox
Submission,Jason Herzog,bantamweight,f1,Jean Matsumoto,Dan Argueta,1.9,1.4,54.29,35.9,1.4,1.9,64.1,45.71,3.01,13.52,50,47,53,50,0.1,0.0,167.64,170.18,61.23,61.23,172.72,172.72,Orthodox,Southpaw
KO/TKO,Mark Smith,middleweight,f1,Cesar Almeida,Dylan Budka,4.02,0.14,76.32,20.0,0.14,4.02,80.0,23.68,0.0,6.24,0,50,50,100,0.0,0.0,185.42,182.88,83.91,83.91,187.96,190.5,Orthodox,Switch
KO/TKO,Chris Tognoni,bantamweight,f1,Nora Cornolle,Melissa Mullins,4.44,1.36,70.59,45.83,1.36,4.44,54.17,29.41,0.0,1.85,0,25,75,100,0.0,0.0,170.18,170.18,61.23,61.23,170.18,172.72,Orthodox,Orthodox
Decision - Unanimous,Vitor Ribeiro,flyweight,f1,Manon Fiorot,Erin Blanchfield,6.88,5.2,47.91,33.68,5.2,6.88,66.32,52.09,0.6,0.0,25,0,100,75,0.0,0.04,170.18,162.56,56.7,56.7,165.1,167.64,Orthodox,Orthodox
KO/TKO,Keith Peterson,welterweight,f1,Joaquin Buckley,Vicente Luque,6.64,2.54,41.98,33.33,2.54,6.64,66.67,58.02,0.0,0.0,0,0,100,100,0.0,0.0,177.8,180.34,77.11,77.11,193.04,190.5,Southpaw,Orthodox
Decision - Unanimous,Gary Copeland,middleweight,f1,Chris Weidman,Bruno Silva,6.1,2.44,67.57,34.09,2.44,6.1,65.91,32.43,1.22,0.0,25,0,100,75,0.0,0.0,187.96,162.56,83.91,56.7,198.12,165.1,Orthodox,Orthodox
KO/TKO,Vitor Ribeiro,middleweight,f1,Nursulton Ruziboev,Sedriques Dumas,3.64,0.3,37.5,6.25,0.3,3.64,93.75,62.5,0.0,0.0,0,0,100,100,0.0,0.0,195.58,187.96,77.11,83.91,193.04,200.66,Orthodox,Orthodox
KO/TKO,Gary Copeland,featherweight,f1,Kyle Nelson,Bill Algeo,8.0,7.5,54.24,51.72,7.5,8.0,48.28,45.76,0.0,0.0,0,0,100,100,0.0,0.0,180.34,182.88,65.77,65.77,180.34,185.42,Switch,Switch
Decision - Split,Keith Peterson,welterweight,f1,Chidi Njokuani,Rhys McKee,4.27,2.0,65.31,32.26,2.0,4.27,67.74,34.69,0.0,0.0,0,0,100,100,0.0,0.0,190.5,187.96,77.11,77.11,203.2,198.12,Orthodox,Orthodox
KO/TKO,Keith Peterson,featherweight,f1,Nate Landwehr,Jamall Emmers,7.84,8.27,48.68,50.0,8.27,7.84,50.0,51.32,0.0,0.0,0,0,100,100,0.0,0.0,175.26,177.8,65.77,65.77,182.88,187.96,Orthodox,Orthodox
Decision - Unanimous,Vitor Ribeiro,strawweight,f1,Virna Jandiroba,Loopy Godinez,2.0,2.53,27.78,40.0,2.53,2.0,60.0,72.22,2.0,0.0,22,0,100,78,0.2,0.0,160.02,157.48,52.16,52.16,162.56,154.94,Orthodox,Orthodox
KO/TKO,Gary Copeland,featherweight,f1,Julio Arce,Herbert Burns,4.14,2.14,36.71,26.32,2.14,4.14,73.68,63.29,0.0,0.0,0,0,100,100,0.0,0.0,170.18,175.26,65.77,65.77,177.8,185.42,Southpaw,Orthodox
KO/TKO,Keith Peterson,featherweight,f1,Dennis Buzukja,Connor Matthews,8.01,5.79,41.29,43.48,5.79,8.01,56.52,58.71,0.0,1.45,0,33,67,100,0.0,0.0,175.26,172.72,65.77,65.77,177.8,180.34,Switch,Switch
KO/TKO,Gary Copeland,light heavyweight,f1,Ibo Aslan,Anton Turkalj,6.42,4.77,41.11,35.03,4.77,6.42,64.97,58.89,0.0,0.0,0,0,100,100,0.0,0.0,190.5,193.04,92.99,92.99,195.58,198.12,Orthodox,Orthodox
KO/TKO,Gary Copeland,middleweight,f1,Jacob Malkoun,Andre Petroski,3.54,2.3,50.0,30.95,2.3,3.54,69.05,50.0,0.0,2.65,0,50,50,100,0.0,0.0,175.26,182.88,83.91,83.91,185.42,185.42,Orthodox,Switch
Decision - Unanimous,Vitor Ribeiro,bantamweight,f1,Caolan Loughran,Angel Pacheco,9.33,5.87,52.24,37.61,5.87,9.33,62.39,47.76,3.0,0.0,75,0,100,25,0.0,0.0,167.64,172.72,61.23,61.23,172.72,177.8,Orthodox,Orthodox
Decision - Unanimous,Jason Herzog,flyweight,f1,Rose Namajunas,Amanda Ribas,3.72,3.32,49.47,30.74,3.32,3.72,69.26,50.53,0.6,2.4,33,50,50,67,0.0,0.0,165.1,160.02,56.7,56.7,165.1,167.64,Orthodox,Orthodox
Decision - Unanimous,Herb Dean,heavyweight,f1,Karl Williams,Justin Tafa,2.67,1.4,65.57,48.84,1.4,2.67,51.16,34.43,7.0,0.0,58,0,100,42,0.07,0.0,190.5,182.88,106.59,119.75,200.66,187.96,Orthodox,Southpaw
KO/TKO,Mark Smith,middleweight,f1,Edmen Shahbazyan,AJ Dobson,5.93,3.3,62.79,32.61,3.3,5.93,67.39,37.21,3.3,0.0,33,0,100,67,0.0,0.0,187.96,185.42,83.91,83.91,190.5,193.04,Orthodox,Orthodox
KO/TKO,Chris Tognoni,bantamweight,f1,Payton Talbott,Cameron Saaiman,14.77,5.79,61.24,48.44,5.79,14.77,51.56,38.76,0.0,0.0,0,0,100,100,0.0,0.0,177.8,172.72,61.23,61.23,177.8,170.18,Switch,Southpaw
Submission,Herb Dean,featherweight,f1,Youssef Zalal,Billy Quarantillo,4.83,1.46,58.93,20.0,1.46,4.83,80.0,41.07,4.39,0.0,100,0,100,0,0.29,0.0,177.8,177.8,65.77,65.77,182.88,177.8,Switch,Orthodox
Submission,Jason Herzog,featherweight,f1,Fernando Padilla,Luis Pajuelo,12.36,1.82,55.74,38.46,1.82,12.36,61.54,44.26,0.0,0.0,0,0,100,100,0.36,0.0,185.42,177.8,65.77,65.77,193.04,175.26,Orthodox,Orthodox
Decision - Unanimous,Mark Smith,lightweight,f1,Trey Ogden,Kurt Holobaugh,2.33,1.93,53.03,42.65,1.93,2.33,57.35,46.97,3.0,0.0,75,0,100,25,0.0,0.0,180.34,180.34,70.31,70.31,182.88,177.8,Orthodox,Orthodox
Submission,Chris Tognoni,featherweight,f1,Julian Erosa,Ricardo Ramos,1.78,3.11,36.36,41.18,3.11,1.78,58.82,63.64,0.0,13.33,0,66,34,100,0.44,0.0,185.42,175.26,65.77,65.77,187.96,182.88,Southpaw,Orthodox
Decision - Unanimous,Herb Dean,bantamweight,f1,Miles Johns,Cody Gibson,1.67,1.2,31.65,29.03,1.2,1.67,70.97,68.35,2.0,1.0,25,14,86,75,0.0,0.0,170.18,177.8,61.23,61.23,167.64,180.34,Orthodox,Orthodox
Decision - Unanimous,Mark Smith,featherweight,f1,Jarno Errens,Steven Nguyen,7.0,4.2,50.72,27.88,4.2,7.0,72.12,49.28,0.0,1.0,0,100,0,100,0.0,0.0,180.34,180.34,65.77,65.77,185.42,185.42,Orthodox,Switch
Decision - Unanimous,Jason Herzog,bantamweight,f1,Daria Zhelezniakova,Montserrat Rendon,3.8,1.67,38.0,17.01,1.67,3.8,82.99,62.0,0.0,3.0,0,50,50,100,0.0,0.0,175.26,172.72,61.23,61.23,172.72,172.72,Orthodox,Orthodox
Decision - Unanimous,Mark Smith,heavyweight,f1,Mick Parkin,Mohammed Usman,4.8,3.8,48.0,34.13,3.8,4.8,65.87,52.0,0.0,0.0,0,0,100,100,0.0,0.0,193.04,187.96,120.2,108.41,200.66,200.66,Orthodox,Orthodox
Submission,Herb Dean,heavyweight,f1,Marcin Tybura,Tai Tuivasa,6.53,3.63,65.85,62.5,3.63,6.53,37.5,34.15,3.63,0.0,25,0,100,75,0.24,0.0,190.5,187.96,112.94,119.75,198.12,190.5,Orthodox,Southpaw
Decision - Split,Mark Smith,light heavyweight,f1,Ovince Saint Preux,Kennedy Nzechukwu,9.53,7.07,51.81,42.4,7.07,9.53,57.6,48.19,0.0,0.0,0,0,100,100,0.0,0.0,190.5,195.58,92.99,92.99,203.2,210.82,Southpaw,Southpaw
Decision - Split,Chris Tognoni,featherweight,f1,Christian Rodriguez,Isaac Dulgarian,3.2,1.47,63.16,50.0,1.47,3.2,50.0,36.84,0.0,7.0,0,43,57,100,0.0,0.13,170.18,170.18,65.77,65.77,180.34,180.34,Orthodox,Orthodox
Submission,Mark Smith,bantamweight,f1,Macy Chiasson,Pannie Kianzad,1.03,0.51,40.0,33.33,0.51,1.03,66.67,60.0,7.69,3.85,100,50,50,0,0.26,0.0,180.34,170.18,61.23,61.23,182.88,167.64,Orthodox,Orthodox
