method,referee,weightclass,winner,f1,f2,f1_slmp,f2_slmp,f1_str_acc_%,f2_str_acc_%,f1_sapm,f2_sapm,f1_str_def_%,f2_str_def_%,f1_td_avg,f2_td_avg,f1_td_acc_%,f2_td_acc_%,f1_td_def_%,f2_td_def_%,f1_sub_avg,f2_sub_avg,f1_height,f2_height,f1_weight,f2_weight,f1_reach,f2_reach,f1_stance,f2_stance
Submission,Osiris Maia,welterweight,f1,Erick Silva,Luan Chagas,3.94,2.94,47.41,40.59,2.94,3.94,59.41,52.59,0.0,1.08,0,25,75,100,0.14,0.0,182.88,182.88,77.11,77.11,187.96,190.5,Orthodox,Orthodox
Decision - Unanimous,Mario Yamasaki,lightweight,f1,Alan Patrick,Stevie Ray,0.47,0.13,58.33,22.22,0.13,0.47,77.78,41.67,5.0,0.0,62,0,100,38,0.07,0.07,180.34,177.8,70.31,70.31,187.96,177.8,Southpaw,Southpaw
KO/TKO,Fernando Portella,welterweight,f1,Vicente Luque,Hector Urbina,11.0,5.0,50.0,29.41,5.0,11.0,70.59,50.0,0.0,0.0,0,0,100,100,0.0,0.0,180.34,180.34,77.11,77.11,190.5,185.42,Orthodox,Orthodox
Decision - Unanimous,Camila Albuquerque,lightweight,f1,Gregor Gillespie,Glaico Franca Moreira,2.73,2.87,45.56,42.16,2.87,2.73,57.84,54.44,5.0,0.0,26,0,100,74,0.0,0.0,170.18,182.88,70.31,70.31,180.34,195.58,Orthodox,Orthodox
KO/TKO,Dan Miragliotta,lightweight,f1,Michael Johnson,Dustin Poirier,8.84,3.79,37.84,50.0,3.79,8.84,50.0,62.16,0.0,0.0,0,0,100,100,0.0,0.0,177.8,175.26,70.31,70.31,185.42,182.88,Southpaw,Southpaw
KO/TKO,Herb Dean,middleweight,f1,Derek Brunson,Uriah Hall,2.38,0.59,57.14,33.33,0.59,2.38,66.67,42.86,0.0,0.0,0,0,100,100,0.0,0.0,185.42,182.88,83.91,83.91,195.58,200.66,Southpaw,Orthodox
Decision - Unanimous,Jacob Montalvo,lightweight,f1,Evan Dunham,Ricky Glenn,9.6,3.87,51.61,37.18,3.87,9.6,62.82,48.39,3.0,0.0,33,0,100,67,0.13,0.0,177.8,182.88,70.31,70.31,177.8,177.8,Southpaw,Southpaw
Decision - Split,Kerry Hatley,welterweight,f1,Roan Carneiro,Kenny Robertson,2.2,1.87,47.14,20.9,1.87,2.2,79.1,52.86,2.0,0.0,33,0,100,67,0.0,0.0,180.34,177.8,77.11,77.11,193.04,187.96,Orthodox,Orthodox
Decision - Unanimous,Dan Miragliotta,lightweight,f1,Islam Makhachev,Chris Wade,0.8,0.33,63.16,29.41,0.33,0.8,70.59,36.84,4.0,0.0,100,0,100,0,0.13,0.13,177.8,177.8,70.31,70.31,177.8,177.8,Southpaw,Orthodox
Submission,Herb Dean,featherweight,f1,Chas Skelly,Maximo Blanco,3.16,0.0,100.0,0.0,0.0,3.16,100.0,0.0,0.0,0.0,0,0,100,100,3.16,0.0,180.34,172.72,65.77,65.77,182.88,180.34,Orthodox,Orthodox
Submission,Dan Miragliotta,featherweight,f1,Gabriel Benitez,Sam Sicilia,6.16,3.0,38.61,27.14,3.0,6.16,72.86,61.39,0.0,0.0,0,0,100,100,0.16,0.0,172.72,172.72,70.31,65.77,180.34,170.18,Southpaw,Orthodox
KO/TKO,Herb Dean,welterweight,f1,Belal Muhammad,Augusto Montano,4.61,4.68,44.3,44.97,4.68,4.61,55.03,55.7,3.14,0.0,75,0,100,25,0.0,0.0,180.34,185.42,77.11,77.11,182.88,185.42,Orthodox,Orthodox
Submission,Jacob Montalvo,middleweight,f1,Antonio Carlos Junior,Leonardo Guimaraes,2.17,0.41,53.33,35.29,0.41,2.17,64.71,46.67,7.11,0.0,50,0,100,50,0.07,0.14,187.96,182.88,83.91,83.91,200.66,187.69,Orthodox,Orthodox
Decision - Unanimous,Kerry Hatley,bantamweight,f1,Jose Quinonez,Joey Gomez,3.73,2.93,42.75,32.35,2.93,3.73,67.65,57.25,5.0,0.0,71,0,100,29,0.0,0.0,172.72,177.8,61.23,61.23,175.26,185.42,Southpaw,Orthodox
Submission,Jacob Montalvo,welterweight,f1,Randy Brown,Erick Montano,1.17,2.04,40.0,51.22,2.04,1.17,48.78,60.0,1.46,2.91,33,25,75,67,0.1,0.0,190.5,182.88,77.11,77.11,198.12,185.42,Orthodox,Orthodox
KO/TKO,Marc Goddard,heavyweight,f1,Stipe Miocic,Alistair Overeem,7.64,2.02,56.67,52.94,2.02,7.64,47.06,43.33,3.37,0.0,100,0,100,0,0.0,0.22,193.04,193.04,108.86,120.2,203.2,203.2,Orthodox,Orthodox
Decision - Unanimous,Gary Copeland,heavyweight,f1,Fabricio Werdum,Travis Browne,5.6,2.47,59.15,25.87,2.47,5.6,74.13,40.85,0.0,0.0,0,0,100,100,0.07,0.0,193.04,198.12,104.78,115.67,195.58,200.66,Orthodox,Orthodox
Submission,Keith Peterson,welterweight,f1,Mickey Gall,CM Punk,8.96,0.0,62.5,0.0,0.0,8.96,100.0,37.5,6.72,0.0,100,0,100,0,0.9,0.0,187.96,185.42,77.11,77.11,187.96,185.42,Switch,Orthodox
