name,height,weight,reach,slpm,str_acc_%,sapm,str_def_%,td_avg,td_acc_%,td_def_%,sub_avg,stance,cluster
Brian Ortega,172.72,145.0,69.0,4.07,38,6.54,49,1.17,27,57,1.2,Unorthodox,0
Yair Rodriguez,180.34,145.0,71.0,4.65,46,3.99,52,0.69,27,58,0.7,Orthodox,0
Daniel Zellhuber,185.42000000000002,155.0,77.0,5.86,41,5.06,56,0.22,33,94,0.2,Unorthodox,3
Francisco Prado,177.8,155.0,69.0,4.58,41,5.66,52,0.0,0,25,0.4,Orthodox,2
Yazmin Jauregui,160.02,115.0,64.0,6.26,38,5.12,55,0.0,0,100,0.0,Orthodox,3
Sam Hughes,165.1,115.0,64.0,4.03,45,4.51,56,0.96,30,57,0.0,Orthodox,2
Manuel Torres,177.8,155.0,73.0,8.14,58,3.15,56,3.26,66,88,1.6,Unorthodox,0
Chris Duncan,177.8,155.0,71.0,4.88,46,3.65,49,3.85,38,33,0.0,Orthodox,2
Raoni Barcelos,170.18,135.0,67.0,5.22,51,4.79,61,1.86,32,85,0.6,Orthodox,5
Cristian Quinonez,172.72,135.0,70.0,4.19,40,4.55,55,1.37,37,84,0.0,Orthodox,3
Jesus Aguilar,162.56,125.0,62.0,1.49,50,1.11,59,1.9,33,40,1.4,Orthodox,0
Mateus Mendonca,167.64000000000001,125.0,71.0,1.66,40,4.14,30,2.54,27,55,0.4,Orthodox,2
Edgar Chairez,170.18,125.0,71.0,2.69,48,4.1,43,0.0,0,41,1.7,Orthodox,0
Daniel Lacerda,167.64000000000001,125.0,70.0,3.95,45,8.28,34,2.32,50,0,1.2,Unorthodox,0
Fares Ziam,185.42000000000002,155.0,75.0,2.7,48,1.72,65,0.81,23,67,0.2,Orthodox,2
Claudio Puelles,177.8,155.0,72.0,1.56,49,2.78,46,3.17,36,60,1.2,Unorthodox,0
Ronaldo Rodriguez,167.64000000000001,125.0,65.0,2.0,41,3.56,47,1.2,50,63,1.8,Orthodox,0
Denys Bondar,167.64000000000001,125.0,69.0,4.59,50,5.16,56,3.99,58,62,0.0,Orthodox,5
Felipe dos Santos,170.18,125.0,70.0,4.53,34,5.07,40,0.0,0,16,0.5,Orthodox,2
Victor Altamirano,172.72,125.0,70.0,4.55,57,3.7,54,3.43,39,63,0.0,Unorthodox,5
Muhammad Naimov,175.26,145.0,70.0,3.33,46,4.57,41,1.94,33,57,0.0,Orthodox,2
Erik Silva,175.26,145.0,71.0,2.07,70,1.57,40,3.76,80,62,0.0,Orthodox,5
Ilia Topuria,170.18,145.0,69.0,4.4,46,3.35,65,1.92,56,92,1.3,Orthodox,0
Alexander Volkanovski,167.64000000000001,145.0,71.0,6.16,56,3.44,58,1.78,37,70,0.2,Orthodox,5
Robert Whittaker,182.88,185.0,73.0,4.57,42,3.45,59,0.81,38,82,0.0,Orthodox,3
Paulo Costa,185.42000000000002,185.0,72.0,6.2,58,6.38,47,0.45,75,80,0.0,Orthodox,5
Ian Machado Garry,190.5,170.0,74.0,6.27,55,3.49,53,0.55,75,69,0.0,Orthodox,5
Geoff Neal,180.34,170.0,75.0,4.97,50,5.47,57,0.46,44,87,0.1,Unorthodox,5
Merab Dvalishvili,167.64000000000001,135.0,68.0,4.5,41,2.37,57,6.43,36,80,0.3,Orthodox,5
Henry Cejudo,162.56,135.0,64.0,3.77,46,3.29,60,1.99,32,75,0.2,Orthodox,5
Anthony Hernandez,182.88,185.0,75.0,4.3,59,3.46,45,6.62,49,63,3.0,Orthodox,0
Roman Kopylov,182.88,185.0,75.0,4.66,54,4.1,60,0.42,50,87,0.0,Unorthodox,5
Amanda Lemos,162.56,115.0,65.0,3.43,54,4.21,44,0.98,63,57,0.7,Unorthodox,0
Mackenzie Dern,162.56,115.0,63.0,3.31,40,4.09,51,0.79,15,28,1.3,Orthodox,0
Marcos Rogerio de Lima,185.42000000000002,253.0,75.0,3.7,57,2.9,51,1.4,45,59,0.5,Orthodox,5
Junior Tafa,190.5,240.0,75.0,1.81,40,1.86,50,0.0,0,81,0.0,Orthodox,3
Rinya Nakamura,170.18,135.0,68.0,3.53,54,1.38,67,3.72,90,100,1.6,Unorthodox,0
Carlos Vera,167.64000000000001,135.0,69.0,0.8,48,2.53,45,0.0,0,0,0.0,Orthodox,2
Zhang Mingyang,187.96,205.0,75.0,9.23,57,6.39,57,0.0,0,0,0.0,Orthodox,2
Brendson Ribeiro,190.5,205.0,81.0,8.41,46,6.77,56,0.0,0,0,0.0,Orthodox,2
Danny Barlow,187.96,170.0,79.0,8.8,52,3.65,57,0.0,0,100,0.0,Unorthodox,3
Josh Quinlan,182.88,170.0,72.0,3.59,42,6.91,49,0.51,11,60,0.0,Orthodox,2
Oban Elliott,182.88,170.0,72.0,4.27,53,2.17,61,3.5,50,0,0.0,Orthodox,2
Val Woodburn,172.72,170.0,74.0,1.6,35,4.93,36,1.92,100,50,0.0,Orthodox,5
Miranda Maverick,160.02,125.0,65.0,3.8,47,2.6,59,2.49,46,40,0.4,Unorthodox,5
Andrea Lee,167.64000000000001,125.0,69.0,4.69,46,3.76,62,1.85,58,55,0.6,Orthodox,5
Jack Hermansson,185.42000000000002,185.0,77.0,5.09,44,3.69,56,1.53,30,80,0.4,Orthodox,5
Joe Pyfer,187.96,185.0,75.0,3.66,40,3.58,51,1.49,41,50,0.9,Orthodox,0
Dan Ige,170.18,145.0,71.0,3.76,45,3.52,57,1.06,26,58,0.3,Orthodox,2
Andre Fili,180.34,145.0,74.0,3.85,37,4.11,51,2.16,47,69,0.3,Orthodox,5
Robert Bryczek,182.88,185.0,75.0,2.13,24,4.47,60,0.0,0,100,0.0,Orthodox,3
Gregory Rodrigues,190.5,185.0,75.0,6.08,55,5.3,51,2.46,45,100,0.5,Orthodox,5
Brad Tavares,185.42000000000002,185.0,74.0,3.38,43,3.15,55,0.78,26,81,0.0,Orthodox,3
Michael Johnson,177.8,155.0,73.0,4.27,39,3.83,57,0.62,41,81,0.0,Unorthodox,3
Darrius Flowers,175.26,155.0,71.0,2.94,54,5.16,43,0.63,20,60,0.0,Orthodox,2
Rodolfo Vieira,182.88,185.0,73.0,3.19,54,4.6,49,4.18,30,100,1.6,Orthodox,0
Armen Petrosyan,190.5,185.0,71.0,5.69,52,2.9,56,0.22,33,31,0.0,Orthodox,2
Carlos Prates,185.42000000000002,170.0,78.0,4.38,56,5.95,37,0.0,0,66,0.0,Unorthodox,2
Trevin Giles,182.88,170.0,74.0,3.27,55,2.22,58,1.19,50,71,0.3,Orthodox,5
Bolaji Oki,177.8,155.0,73.0,5.18,43,2.53,64,0.84,100,83,0.0,Orthodox,5
Timmy Cuamba,175.26,145.0,71.0,2.53,34,4.23,57,0.5,16,71,0.0,Orthodox,2
Loma Lookboonmee,154.94,115.0,61.0,4.1,57,2.48,53,1.9,50,72,0.1,Orthodox,5
Bruna Brasil,167.64000000000001,115.0,65.0,2.94,62,3.92,51,1.59,62,53,0.0,Orthodox,5
Marcin Prachnio,190.5,205.0,74.0,5.61,55,3.3,54,0.17,20,58,0.0,Orthodox,2
Devin Clark,182.88,205.0,75.0,3.03,54,3.24,44,2.17,32,58,0.1,Orthodox,2
