name,height,weight,reach,slpm,str_acc_%,sapm,str_def_%,td_avg,td_acc_%,td_def_%,sub_avg,stance,cluster
Belal Muhammad,180.34,170.0,72.0,4.55,43,3.64,57,1.98,35,93,0.2,Orthodox,5
Kron Gracie,175.26,145.0,70.0,3.74,44,6.82,53,0.47,25,0,0.5,Unorthodox,2
Braxton Smith,180.34,257.0,72.0,6.46,48,11.54,32,0.0,0,100,0.0,Orthodox,1
Joseph Holmes,193.04,185.0,80.0,2.88,53,3.08,54,1.49,40,50,0.8,Orthodox,0
Journey Newson,165.1,135.0,67.0,2.64,32,2.57,64,0.56,16,43,0.3,Orthodox,2
Hailey Cowan,172.72,135.0,67.0,2.97,42,3.17,34,1.5,33,80,0.0,Unorthodox,2
Brogan Walker,162.56,125.0,67.0,2.04,30,3.7,47,0.0,0,11,0.0,Unorthodox,2
Montel Jackson,177.8,135.0,75.0,3.36,53,1.41,64,3.42,71,69,0.3,Unorthodox,5
Brady Hiestand,172.72,135.0,71.0,2.93,52,3.65,53,4.06,46,42,0.3,Orthodox,5
Batgerel Danaa,170.18,135.0,70.0,5.38,36,4.21,47,0.52,50,62,0.0,Orthodox,2
Azamat Murzakanov,177.8,205.0,71.0,4.57,57,3.12,57,0.75,16,83,0.0,Unorthodox,3
Rafa Garcia,170.18,155.0,70.0,4.19,42,4.21,61,3.61,44,79,0.3,Orthodox,5
Zak Cummings,182.88,205.0,75.0,2.96,35,2.91,55,0.62,28,66,0.6,Unorthodox,2
Ed Herman,185.42000000000002,205.0,77.0,3.31,48,3.71,42,1.96,47,59,1.0,Orthodox,0
Lando Vannata,175.26,155.0,71.0,4.52,45,4.76,55,1.09,37,69,0.3,Orthodox,5
Aaron Phillips,175.26,135.0,71.0,1.51,53,3.66,43,0.86,50,44,0.6,Unorthodox,2
Jorge Masvidal,180.34,170.0,74.0,4.05,47,3.05,64,1.38,59,72,0.3,Orthodox,5
Santiago Ponzinibbio,182.88,170.0,73.0,4.9,41,4.67,61,0.48,30,60,0.0,Orthodox,2
Cynthia Calvillo,162.56,115.0,64.0,4.41,38,4.12,64,1.8,44,77,0.8,Orthodox,0
Shayilan Nuerdanbieke,172.72,145.0,69.0,2.28,45,2.94,50,2.9,33,40,0.0,Orthodox,2
Steven Peterson,177.8,145.0,70.0,4.76,40,5.94,53,1.42,26,64,0.7,Orthodox,0
Gunnar Nelson,180.34,170.0,72.0,1.84,61,3.0,49,1.9,59,66,1.0,Unorthodox,0
Makwan Amirkhani,177.8,145.0,72.0,1.33,44,2.98,46,3.96,43,35,1.1,Unorthodox,0
Omar Morales,180.34,155.0,73.0,3.42,40,3.18,58,0.46,100,63,0.0,Orthodox,5
Dusko Todorovic,185.42000000000002,185.0,74.0,5.54,57,4.55,46,0.96,12,45,0.0,Orthodox,2
Nikita Krylov,190.5,205.0,77.0,4.38,55,2.47,44,2.29,38,53,1.4,Orthodox,0
Guido Cannetti,167.64000000000001,135.0,68.0,3.44,55,2.84,51,2.27,55,64,0.4,Unorthodox,5
Raphael Assuncao,165.1,135.0,66.0,3.22,42,2.5,66,1.65,39,78,0.2,Orthodox,5
Tony Gravely,165.1,135.0,69.0,3.82,48,4.47,44,5.4,41,52,0.3,Orthodox,5
Jon Jones,193.04,248.0,84.0,4.29,57,2.22,64,1.93,45,95,0.5,Orthodox,5
Trevin Jones,170.18,135.0,70.0,2.13,37,4.29,39,0.62,15,60,0.2,Unorthodox,2
Derek Brunson,185.42000000000002,185.0,77.0,3.51,47,3.05,51,3.14,33,85,0.6,Unorthodox,5
Julian Marquez,187.96,185.0,72.0,4.86,44,4.99,51,0.0,0,53,2.6,Orthodox,0
Mana Martinez,177.8,135.0,70.0,4.33,48,4.94,50,0.72,42,25,0.5,Orthodox,2
Jessica Penne,165.1,115.0,67.0,2.52,31,4.75,46,1.32,21,36,0.6,Orthodox,2
Augusto Sakai,190.5,265.0,77.0,4.6,49,3.83,48,0.23,40,56,0.0,Orthodox,2
Erick Gonzalez,180.34,155.0,75.0,2.4,36,8.08,40,6.0,55,50,0.0,Orthodox,5
Nurullo Aliev,177.8,155.0,72.0,2.5,51,0.46,59,3.06,44,0,0.0,Orthodox,2
Rafael Alves,172.72,155.0,68.0,1.85,48,3.3,58,0.29,25,44,1.5,Orthodox,0
Jordan Wright,187.96,205.0,77.0,4.1,56,6.03,31,2.09,45,100,0.4,Orthodox,5
William Knight,177.8,205.0,73.0,2.62,56,3.3,35,1.78,40,48,0.4,Orthodox,2
Lina Lansberg,170.18,135.0,65.0,2.69,55,3.87,44,0.52,27,47,0.1,Orthodox,2
Khusein Askhabov,172.72,145.0,69.0,2.0,26,4.13,56,0.0,0,66,0.0,Orthodox,2
Clayton Carpenter,167.64000000000001,125.0,66.0,4.5,51,2.85,60,2.47,50,0,2.5,Orthodox,0
Juancamilo Ronderos,160.02,125.0,64.0,2.18,30,2.18,63,2.72,33,0,0.0,Unorthodox,2
Don Shainis,167.64000000000001,145.0,67.0,3.42,50,5.87,31,0.97,25,20,1.9,Orthodox,0
Zubaira Tukhugov,172.72,155.0,68.0,3.17,39,3.07,63,2.13,39,100,0.0,Orthodox,5
Dooho Choi,177.8,145.0,70.0,4.74,53,4.91,54,0.29,20,50,0.0,Orthodox,2
Yizha,170.18,145.0,71.0,2.82,44,2.2,54,4.55,32,59,1.4,Orthodox,0
SeungGuk Choi,167.64000000000001,125.0,64.0,2.69,42,2.69,65,1.02,27,74,0.0,Orthodox,3
Glover Teixeira,187.96,205.0,76.0,3.73,49,4.43,51,2.11,33,60,0.9,Orthodox,0
Lauren Murphy,165.1,125.0,67.0,4.05,39,5.25,55,1.03,25,69,0.1,Orthodox,2
Mauricio Rua,185.42000000000002,205.0,76.0,3.57,50,2.79,54,2.01,48,49,0.7,Orthodox,0
Mounir Lazzez,185.42000000000002,170.0,76.0,7.49,55,5.42,53,1.8,57,71,0.0,Orthodox,5
Shamil Abdurakhimov,190.5,235.0,76.0,2.41,44,3.02,55,1.01,23,45,0.1,Orthodox,2
Saimon Oliveira,162.56,135.0,72.0,2.82,41,3.91,48,1.21,25,35,1.6,Orthodox,0
Allan Nascimento,172.72,125.0,69.0,3.21,61,2.28,50,1.55,26,16,0.9,Orthodox,0
Cheyanne Vlismas,160.02,115.0,63.0,4.93,50,2.57,64,0.25,33,66,0.2,Unorthodox,2
Saidyokub Kakhramonov,172.72,135.0,69.0,2.05,51,0.88,58,6.63,48,83,1.9,Orthodox,0
Sergey Morozov,167.64000000000001,135.0,67.0,3.01,43,2.97,61,3.63,31,68,0.0,Orthodox,5
Darren Till,182.88,185.0,74.0,2.3,46,3.31,56,0.55,46,69,0.0,Unorthodox,5
Jay Perrin,170.18,135.0,67.0,3.71,46,3.9,44,2.83,52,58,0.0,Unorthodox,5
Dalcha Lungiambula,172.72,185.0,76.0,3.07,45,3.93,52,2.14,45,77,0.0,Orthodox,5
Steven Koslow,170.18,125.0,69.0,0.77,37,3.73,40,5.28,55,0,1.1,Unorthodox,0
Kyle Daukaus,190.5,185.0,76.0,3.22,52,2.94,42,2.12,25,82,1.9,Unorthodox,0
Scott Holtzman,175.26,155.0,69.0,4.32,47,3.66,55,1.88,56,67,0.2,Orthodox,5
Marcelo Rojo,172.72,145.0,71.0,4.92,39,6.42,55,0.46,50,66,0.0,Orthodox,2
Vince Morales,175.26,135.0,70.0,4.17,37,4.24,53,0.14,25,64,0.0,Orthodox,2
Ricky Turcios,175.26,135.0,71.0,5.08,37,3.7,55,1.0,25,45,0.2,Orthodox,2
Kevin Natividad,167.64000000000001,135.0,70.0,2.68,34,4.29,47,3.66,50,83,0.0,Orthodox,5
Carla Esparza,154.94,115.0,63.0,2.16,40,2.69,55,3.22,35,47,0.3,Orthodox,2
Michael Chandler,172.72,155.0,71.0,4.89,46,4.58,46,2.17,38,71,0.9,Orthodox,0
Frankie Edgar,167.64000000000001,135.0,68.0,3.77,40,2.82,65,2.29,31,65,0.3,Orthodox,5
Brad Riddell,170.18,155.0,71.0,4.71,53,3.53,53,1.77,36,63,0.0,Orthodox,5
Dominick Reyes,193.04,205.0,77.0,4.75,50,3.77,48,0.36,28,80,0.4,Unorthodox,3
Silvana Gomez Juarez,160.02,115.0,65.0,4.26,32,4.04,61,0.0,0,30,0.0,Orthodox,2
Michael Trizano,180.34,145.0,71.0,3.63,53,4.4,50,0.36,66,72,0.5,Orthodox,5
Nicolae Negumereanu,182.88,205.0,78.0,3.58,41,5.56,39,1.02,28,62,0.0,Orthodox,2
Darrick Minner,170.18,145.0,69.0,2.63,65,2.28,35,2.4,72,66,2.7,Orthodox,0
Shanna Young,170.18,125.0,65.0,3.18,47,4.88,43,0.0,0,53,0.6,Orthodox,2
Benito Lopez,177.8,135.0,73.0,4.39,45,5.18,56,0.0,0,73,0.3,Unorthodox,3
Liudvik Sholinian,177.8,135.0,71.0,2.5,30,5.67,55,0.0,0,66,0.0,Orthodox,2
Carlos Candelario,172.72,125.0,68.0,3.97,46,5.17,44,2.28,36,53,0.3,Unorthodox,2
Ramona Pascual,170.18,135.0,66.0,3.87,57,8.43,46,1.81,19,100,0.0,Unorthodox,3
Jared Vanderaa,193.04,265.0,80.0,4.96,44,5.67,45,0.18,50,20,0.0,Orthodox,2
Tresean Gore,182.88,185.0,75.0,3.04,53,6.13,47,3.04,71,81,1.2,Unorthodox,0
Carlos Mota,162.56,125.0,69.0,0.8,41,1.13,54,0.0,0,50,1.0,Orthodox,0
Joshua Weems,172.72,135.0,69.0,5.25,64,3.34,61,4.77,40,100,0.0,Orthodox,5
TJ Dillashaw,167.64000000000001,135.0,67.0,5.09,41,3.47,62,1.56,30,77,0.8,Orthodox,0
Gadzhi Omargadzhiev,185.42000000000002,170.0,71.0,1.8,39,2.2,39,1.35,30,60,0.5,Unorthodox,2
Misha Cirkunov,190.5,205.0,77.0,3.86,51,3.06,57,4.15,39,76,1.7,Orthodox,0
Brandon Davis,177.8,135.0,72.0,4.68,35,4.62,58,0.74,42,57,0.1,Orthodox,2
Nick Maximov,182.88,185.0,76.0,1.93,45,2.64,46,4.16,45,35,0.2,Unorthodox,2
Mike Jackson,187.96,170.0,74.0,4.49,57,3.73,62,0.71,33,88,0.0,Orthodox,3
Francisco Trinaldo,175.26,170.0,70.0,3.13,45,2.67,60,0.98,42,60,0.5,Unorthodox,5
Aleksei Oleinik,187.96,240.0,80.0,3.29,48,3.8,44,1.82,46,37,1.9,Orthodox,0
Jesse Ronson,177.8,155.0,70.0,3.54,47,3.39,57,0.46,28,57,0.5,Unorthodox,2
Krzysztof Jotko,185.42000000000002,185.0,77.0,2.98,42,2.23,57,1.33,39,82,0.1,Unorthodox,5
Randy Costa,175.26,135.0,73.0,6.53,46,7.58,58,0.0,0,50,0.0,Unorthodox,2
Alen Amedovski,177.8,185.0,74.0,0.99,30,3.85,46,0.0,0,0,0.0,Orthodox,2
Louis Cosce,175.26,170.0,71.0,4.31,45,5.35,47,1.04,20,50,0.5,Orthodox,2
Mariya Agapova,167.64000000000001,125.0,68.0,4.67,55,3.82,52,0.59,66,47,0.9,Unorthodox,0
Cameron VanCamp,187.96,155.0,74.0,5.31,47,6.41,40,0.0,0,0,0.0,Unorthodox,2
Nate Diaz,182.88,170.0,76.0,4.57,45,3.77,52,1.05,30,41,1.3,Unorthodox,0
Li Jingliang,182.88,170.0,71.0,4.46,42,3.84,57,1.25,41,60,0.0,Orthodox,2
Chris Barnett,175.26,265.0,75.0,4.41,48,5.87,40,0.0,0,33,0.0,Orthodox,2
Danyelle Wolf,180.34,145.0,70.0,2.37,25,4.57,47,0.0,0,77,0.5,Orthodox,2
Melissa Martinez,157.48,115.0,66.0,3.0,57,2.53,45,1.0,50,0,0.0,Unorthodox,2
Darian Weeks,180.34,170.0,72.0,4.49,51,4.56,51,2.0,30,100,0.0,Orthodox,5
Alessio Di Chirico,182.88,185.0,74.0,3.32,39,3.44,61,1.46,39,83,0.0,Orthodox,5
Khalid Taha,165.1,135.0,69.0,2.64,32,4.12,46,0.0,0,61,0.2,Orthodox,2
Luke Rockhold,190.5,185.0,77.0,4.1,49,2.68,53,0.7,29,65,1.0,Unorthodox,0
Wu Yanan,172.72,135.0,66.0,4.23,41,4.95,49,0.62,30,63,0.2,Orthodox,2
Harry Hunsucker,187.96,205.0,75.0,3.54,52,6.53,42,0.0,0,0,2.0,Orthodox,0
Leonardo Santos,182.88,155.0,75.0,2.82,46,3.4,54,0.88,25,86,0.2,Orthodox,3
Luis Saldana,180.34,145.0,73.0,5.16,50,3.65,60,0.64,17,44,0.2,Orthodox,2
Francisco Figueiredo,167.64000000000001,125.0,68.0,2.04,61,2.59,61,2.51,75,76,0.4,Unorthodox,5
Dominick Cruz,172.72,135.0,68.0,3.91,33,2.61,70,2.82,42,83,0.1,Orthodox,5
Nina Nunes,165.1,125.0,64.0,4.39,45,3.47,55,0.24,33,73,0.5,Orthodox,2
Charlie Ontiveros,187.96,155.0,74.0,1.89,41,5.86,31,0.0,0,30,0.0,Unorthodox,2
Jason Witt,177.8,170.0,70.0,2.15,44,2.54,52,6.9,48,100,0.9,Orthodox,0
Thiago Santos,187.96,205.0,76.0,3.72,48,2.57,53,0.88,33,65,0.1,Orthodox,2
Sam Alvey,187.96,185.0,75.0,3.28,44,3.63,52,0.06,14,82,0.1,Unorthodox,3
Miranda Granger,170.18,115.0,68.0,2.79,47,2.57,57,0.0,0,33,0.0,Orthodox,2
Julianna Pena,167.64000000000001,135.0,69.0,3.16,47,2.3,50,1.94,55,23,0.8,Orthodox,0
Hamdy Abdelwahab,187.96,264.0,72.0,3.87,52,3.13,59,3.0,75,0,0.0,Unorthodox,2
Alexander Gustafsson,195.58,205.0,79.0,4.03,40,3.53,51,1.53,39,83,0.4,Orthodox,5
Mason Jones,177.8,155.0,74.0,5.61,44,4.94,46,3.16,45,80,0.0,Orthodox,5
Damir Hadzovic,175.26,155.0,70.0,3.36,48,3.26,62,0.78,55,34,0.2,Orthodox,2
Charles Rosa,175.26,145.0,69.0,3.08,36,3.86,47,1.67,35,38,1.0,Unorthodox,0
Claudio Silva,180.34,170.0,71.0,2.48,42,3.0,46,2.85,26,44,1.1,Unorthodox,0
Shane Burgos,180.34,145.0,75.0,7.4,52,6.78,56,0.43,44,91,0.4,Orthodox,5
Dwight Grant,185.42000000000002,185.0,76.0,3.29,36,2.66,60,0.61,100,66,0.0,Unorthodox,5
Antonina Shevchenko,172.72,125.0,67.0,3.86,55,2.93,52,0.43,42,53,0.4,Unorthodox,2
Cortney Casey,170.18,125.0,67.0,4.29,39,4.0,55,0.39,31,39,0.5,Orthodox,2
Karl Roberson,185.42000000000002,205.0,74.0,2.57,51,2.42,57,0.72,40,42,0.5,Unorthodox,2
Donald Cerrone,185.42000000000002,155.0,73.0,4.41,46,4.48,53,1.16,33,73,1.2,Orthodox,0
Uriah Hall,182.88,185.0,79.0,3.23,48,3.85,54,0.54,38,64,0.1,Orthodox,2
Jessica Eye,167.64000000000001,125.0,66.0,3.86,37,4.19,55,0.58,40,57,0.5,Orthodox,2
Alan Baudot,190.5,243.0,79.0,5.36,58,4.82,46,0.0,0,62,0.0,Orthodox,2
Raulian Paiva,172.72,135.0,69.0,4.14,42,5.01,48,0.65,23,77,0.2,Orthodox,2
Tony Kelley,175.26,135.0,70.0,5.55,47,4.85,45,0.0,0,52,1.4,Unorthodox,0
Danny Chavez,172.72,145.0,67.0,2.86,38,3.83,50,1.95,60,87,0.0,Orthodox,5
Gloria de Paula,165.1,115.0,67.0,4.89,53,3.77,66,0.74,37,65,0.5,Orthodox,5
Eddie Wineland,170.18,135.0,69.0,3.4,29,3.76,68,0.34,33,86,0.1,Orthodox,3
Deron Winn,167.64000000000001,185.0,70.0,4.55,44,6.21,46,4.28,52,40,0.0,Orthodox,5
Joanna Jedrzejczyk,167.64000000000001,115.0,65.0,6.28,48,3.25,62,0.27,62,80,0.1,Orthodox,5
Ramazan Emeev,177.8,170.0,76.0,2.53,45,2.14,65,2.37,29,66,0.7,Unorthodox,0
Poliana Botelho,172.72,125.0,67.0,2.9,58,2.8,54,0.85,57,76,0.0,Orthodox,5
Zarrukh Adashev,165.1,125.0,65.0,3.65,40,3.04,64,0.0,0,100,0.5,Unorthodox,3
Askar Mozharov,190.5,205.0,74.0,0.43,18,4.07,13,0.0,0,33,0.0,Orthodox,2
Felice Herrig,162.56,115.0,65.0,3.84,37,5.19,48,1.08,28,75,0.8,Orthodox,0
Alex Da Silva,172.72,155.0,73.0,2.14,46,2.52,56,1.97,43,76,0.3,Orthodox,5
Niklas Stolze,185.42000000000002,155.0,74.0,2.12,48,2.25,49,0.66,100,55,0.7,Unorthodox,5
Jeff Molina,167.64000000000001,125.0,69.0,7.25,48,5.04,55,0.0,0,66,0.0,Orthodox,3
Andreas Michailidis,182.88,170.0,76.0,2.9,51,3.57,44,1.12,27,50,0.0,Orthodox,2
Felipe Colares,172.72,145.0,69.0,2.17,45,4.65,36,1.88,24,43,0.5,Orthodox,2
Louis Smolka,175.26,135.0,68.0,4.67,47,4.11,53,1.69,35,32,1.8,Orthodox,0
Frank Camacho,177.8,155.0,73.0,6.56,46,7.44,51,1.11,31,73,0.0,Orthodox,3
Alan Patrick,180.34,155.0,74.0,1.82,40,2.95,43,3.01,33,43,0.3,Unorthodox,2
Tristan Connelly,177.8,145.0,68.0,3.31,51,2.96,50,0.33,14,60,0.3,Orthodox,2
Gina Mazany,167.64000000000001,125.0,68.0,3.73,50,3.52,50,4.34,52,33,0.2,Unorthodox,5
Sergey Khandozhko,185.42000000000002,170.0,74.0,3.41,41,2.37,60,0.76,28,61,0.0,Orthodox,2
Ike Villanueva,185.42000000000002,205.0,73.0,3.66,38,7.24,36,0.6,50,100,0.0,Orthodox,3
Cameron Else,175.26,135.0,71.0,1.99,40,8.09,51,0.0,0,0,0.0,Unorthodox,2
Dean Barry,177.8,170.0,72.0,9.31,40,4.66,51,0.0,0,100,0.0,Orthodox,3
Miguel Baeza,187.96,170.0,74.0,4.88,49,5.1,53,0.44,28,100,1.8,Orthodox,0
TJ Laramie,167.64000000000001,145.0,66.0,1.49,50,2.64,38,1.44,33,40,0.0,Orthodox,2
Brandon Jenkins,182.88,155.0,71.0,2.93,41,8.05,33,0.0,0,27,0.0,Unorthodox,2
Kevin Croom,180.34,135.0,73.0,2.65,34,3.1,41,0.48,5,30,0.5,Orthodox,2
Aspen Ladd,167.64000000000001,135.0,66.0,3.78,47,4.65,47,1.56,47,62,0.6,Orthodox,5
Mickey Gall,187.96,170.0,74.0,2.94,46,4.25,49,1.21,30,36,1.9,Unorthodox,0
Kay Hansen,157.48,115.0,63.0,3.01,50,3.19,51,1.83,22,37,0.8,Orthodox,0
Askar Askarov,167.64000000000001,125.0,67.0,3.05,54,2.8,57,2.6,24,66,0.4,Orthodox,5
Sara McMann,167.64000000000001,135.0,66.0,2.26,46,1.92,47,4.38,65,50,0.5,Orthodox,5
Bruno Souza,177.8,145.0,70.0,3.73,39,5.3,45,0.5,16,60,0.0,Orthodox,2
Kazula Vargas,172.72,155.0,71.0,3.65,53,1.77,57,0.4,25,30,0.4,Unorthodox,2
Mike Grundy,170.18,145.0,72.0,2.09,45,4.45,56,4.06,28,50,0.4,Orthodox,2
Timur Valiev,167.64000000000001,135.0,67.0,5.19,53,3.33,45,1.73,40,55,0.3,Orthodox,2
Marlon Moraes,167.64000000000001,135.0,67.0,3.37,40,4.53,54,0.87,41,46,0.3,Orthodox,2
Sabina Mazo,170.18,125.0,70.0,6.1,43,4.35,57,0.65,80,59,0.2,Orthodox,5
Kris Moutinho,170.18,135.0,68.0,4.86,32,15.48,28,0.0,0,0,0.0,Unorthodox,1
Alex Oliveira,180.34,170.0,76.0,2.99,51,2.55,46,2.35,38,63,0.6,Orthodox,5
Greg Hardy,195.58,265.0,80.0,4.79,50,3.31,55,0.2,33,64,0.0,Orthodox,2
Devonte Smith,175.26,155.0,76.0,4.55,53,3.91,49,0.35,25,85,0.3,Orthodox,3
Rongzhu,175.26,155.0,72.0,5.47,50,5.6,45,2.09,62,85,0.2,Orthodox,5
Alejandro Perez,167.64000000000001,135.0,67.0,3.45,35,3.18,61,0.54,22,70,0.3,Orthodox,2
Micheal Gillmore,180.34,170.0,72.0,2.04,57,3.02,43,0.0,0,50,0.0,Orthodox,2
Chas Skelly,180.34,145.0,72.0,2.01,40,3.21,49,1.74,34,39,2.3,Orthodox,0
Mark Striegl,172.72,145.0,70.0,1.4,45,4.07,40,0.0,0,66,0.0,Unorthodox,2
Jesse Strader,170.18,135.0,70.0,5.03,51,5.28,47,3.87,57,100,0.0,Orthodox,5
Roxanne Modafferi,170.18,125.0,69.0,3.35,30,5.7,51,1.35,23,30,0.1,Orthodox,2
Fabio Cherant,185.42000000000002,205.0,74.0,1.35,40,4.89,38,0.0,0,0,0.0,Unorthodox,2
Alexis Davis,167.64000000000001,135.0,68.0,4.63,49,4.45,54,0.95,44,34,0.7,Orthodox,0
Danilo Marques,198.12,205.0,77.0,1.44,79,2.52,52,3.93,28,0,0.8,Orthodox,0
Francis Ngannou,193.04,250.0,83.0,2.33,41,2.16,41,0.76,62,71,0.3,Orthodox,5
Rogerio Bontorin,165.1,125.0,67.0,2.63,52,3.27,50,2.9,60,51,1.0,Orthodox,0
Dakota Bush,177.8,155.0,73.0,2.77,38,4.42,41,2.4,33,0,0.0,Orthodox,2
Sijara Eubanks,162.56,125.0,67.0,4.3,43,3.43,57,1.9,44,66,0.3,Orthodox,5
Andre Ewell,172.72,145.0,75.0,4.28,40,4.87,51,0.36,75,72,0.1,Unorthodox,5
Matt Sayles,170.18,155.0,68.0,4.83,41,2.81,61,0.36,16,81,0.7,Orthodox,0
Ryan Hall,177.8,145.0,70.0,2.38,50,1.33,65,0.22,9,0,2.2,Unorthodox,0
Maki Pitolo,177.8,185.0,75.0,4.1,44,3.93,55,2.24,52,50,0.8,Orthodox,0
Mallory Martin,162.56,115.0,63.0,4.42,48,6.64,55,2.28,43,25,0.3,Orthodox,2
Chris Gruetzemacher,172.72,155.0,68.0,6.18,57,4.96,52,0.21,50,65,0.0,Orthodox,5
Sean Soriano,175.26,145.0,70.0,3.18,61,2.14,56,1.33,55,52,0.0,Orthodox,5
Ben Rothwell,193.04,265.0,78.0,3.71,42,4.63,47,0.68,34,70,0.4,Orthodox,2
Felicia Spencer,167.64000000000001,145.0,68.0,3.21,48,4.54,45,1.18,18,27,0.2,Orthodox,2
Leah Letson,170.18,145.0,71.0,3.06,41,3.84,52,0.51,50,76,0.0,Unorthodox,5
Collin Anglin,175.26,145.0,71.0,4.59,48,5.54,51,2.28,66,100,0.0,Orthodox,5
Liana Jojua,162.56,125.0,62.0,2.42,30,5.32,54,1.71,66,50,1.3,Orthodox,0
Al Iaquinta,177.8,155.0,70.0,4.06,40,4.53,61,0.63,18,74,0.2,Orthodox,3
Jordan Williams,185.42000000000002,185.0,75.0,5.83,50,5.46,35,1.11,50,85,0.0,Unorthodox,5
Gian Villante,190.5,230.0,76.0,4.38,44,5.47,55,0.45,23,83,0.0,Orthodox,3
John Allan,185.42000000000002,205.0,75.0,3.56,42,5.74,52,1.4,71,50,0.8,Orthodox,0
Shamil Gamzatov,187.96,205.0,76.0,5.35,48,3.46,51,0.0,0,50,0.0,Orthodox,2
Hu Yaozong,190.5,185.0,72.0,3.35,48,5.09,35,0.0,0,33,0.4,Orthodox,2
Laureano Staropoli,185.42000000000002,185.0,71.0,3.31,34,3.73,54,0.83,26,48,0.0,Orthodox,2
Khama Worthy,180.34,155.0,74.0,4.18,48,4.45,46,0.0,0,57,0.7,Orthodox,2
Randa Markos,162.56,115.0,63.0,2.97,43,3.1,58,1.12,28,52,0.2,Orthodox,2
Livinha Souza,160.02,115.0,63.0,1.75,45,3.6,56,2.54,45,40,1.4,Orthodox,0
Zviad Lazishvili,167.64000000000001,135.0,69.0,4.2,39,6.13,51,0.0,0,0,0.0,Orthodox,2
Carlos Felipe,182.88,245.0,75.0,4.88,45,5.6,50,0.0,0,72,0.0,Orthodox,3
Andrew Sanchez,185.42000000000002,185.0,74.0,4.3,43,5.1,50,2.55,36,100,0.0,Orthodox,5
Bethe Correia,165.1,135.0,64.0,4.37,43,4.93,56,0.39,18,85,0.0,Orthodox,3
Gaetano Pirrello,170.18,135.0,65.0,0.99,55,2.44,42,0.0,0,30,0.0,Orthodox,2
Johnny Eduardo,170.18,135.0,71.0,2.95,39,3.22,63,0.22,20,58,0.4,Orthodox,2
Nick Diaz,185.42000000000002,170.0,76.0,5.71,42,3.84,59,1.28,32,60,1.0,Unorthodox,0
Martin Sano,180.34,170.0,75.0,4.0,33,12.0,40,0.0,0,0,0.0,Orthodox,2
Antonio Arroyo,190.5,185.0,73.0,2.82,66,2.02,50,1.14,41,41,0.2,Orthodox,2
Mike Rodriguez,193.04,205.0,82.0,4.35,53,4.24,41,0.0,0,37,0.0,Unorthodox,2
Sarah Alpar,162.56,135.0,63.0,2.36,44,6.06,38,1.61,26,20,0.4,Unorthodox,2
Impa Kasanganay,180.34,170.0,75.0,4.96,48,3.66,58,1.75,58,66,0.2,Orthodox,5
Gustavo Lopez,165.1,135.0,67.0,2.48,40,3.87,57,1.74,41,31,0.7,Orthodox,0
Emily Whitmire,165.1,125.0,63.0,2.5,31,2.98,54,1.9,66,70,0.5,Orthodox,5
David Zawada,182.88,170.0,75.0,3.84,41,4.54,55,0.97,33,57,1.7,Orthodox,0
Luigi Vendramini,172.72,155.0,73.0,2.82,40,3.82,57,1.11,15,100,0.6,Orthodox,3
Darren Stewart,182.88,205.0,74.0,3.05,45,3.29,48,1.75,45,67,0.1,Orthodox,5
Domingo Pilarte,182.88,135.0,73.0,1.31,47,2.96,40,1.2,42,54,0.8,Unorthodox,0
Bea Malecki,175.26,135.0,74.0,6.84,46,6.96,62,0.0,0,78,1.1,Orthodox,0
Sasha Palatnikov,185.42000000000002,170.0,72.0,6.69,53,5.44,52,0.72,100,70,0.0,Unorthodox,5
Casey Kenney,170.18,135.0,68.0,4.85,42,4.67,58,1.09,35,61,0.4,Unorthodox,2
Drako Rodriguez,172.72,135.0,69.0,3.37,36,4.4,58,2.93,66,75,0.7,Orthodox,0
Anderson Dos Santos,165.1,135.0,70.0,2.7,25,5.37,49,0.98,14,66,0.7,Orthodox,0
Jamey Simmons,167.64000000000001,135.0,70.0,0.79,21,1.92,74,0.0,0,50,0.0,Orthodox,2
Kai Kamaka,170.18,145.0,69.0,4.96,57,5.29,55,1.93,58,52,0.3,Orthodox,5
Ryan Benoit,165.1,125.0,68.0,2.88,39,3.65,58,0.28,22,72,0.4,Orthodox,2
Ian Heinisch,180.34,185.0,72.0,3.25,50,2.98,59,1.02,17,59,0.7,Orthodox,0
Marion Reneau,167.64000000000001,135.0,68.0,3.2,41,3.52,59,0.62,63,50,0.8,Orthodox,0
Jeremy Stephens,175.26,145.0,71.0,3.17,40,3.05,58,1.16,38,65,0.4,Orthodox,2
Conor McGregor,175.26,155.0,74.0,5.32,49,4.66,54,0.67,55,66,0.1,Unorthodox,5
Carlos Condit,187.96,170.0,75.0,3.66,39,2.67,55,0.59,46,38,1.0,Orthodox,0
Omari Akhmedov,182.88,185.0,73.0,2.97,34,2.84,55,2.58,45,65,0.2,Orthodox,5
Jerome Rivera,177.8,125.0,72.0,3.21,33,2.6,51,0.0,0,40,0.0,Unorthodox,2
Michel Prazeres,167.64000000000001,170.0,67.0,2.38,47,2.51,57,3.94,36,47,0.6,Orthodox,5
Justin Jaynes,170.18,145.0,68.0,3.34,44,5.33,62,0.75,40,20,1.1,Orthodox,0
Yancy Medeiros,177.8,155.0,75.0,4.36,37,5.67,47,0.33,50,73,0.7,Orthodox,0
Dhiego Lima,187.96,170.0,75.0,3.12,39,3.88,58,1.26,34,73,0.6,Orthodox,5
